State,Members,Population
Alabama,39832.00,5074296.00
Alaska,33574.00,733583.00
Arizona,439411.00,7359197.00
Arkansas,35405.00,3045637.00
California,728995.00,39029342.00
Colorado,148708.00,5839926.00
Connecticut,15838.00,3626205.00
Delaware,5613.00,1018396.00
District of Columbia,3168.00,671803.00
Florida,168527.00,22244823.00
Georgia,89285.00,10912876.00
Hawaii,74952.00,1440196.00
Idaho,473894.00,1939033.00
Illinois,57015.00,12582032.00
Indiana,46823.00,6833037.00
Iowa,28697.00,3200517.00
Kansas,39356.00,2937150.00
Kentucky,37830.00,4512310.00
Louisiana,29727.00,4590241.00
Maine,11054.00,1385340.00
Maryland,43296.00,6164660.00
Massachusetts,28197.00,6981974.00
Michigan,45547.00,10034113.00
Minnesota,33365.00,5717184.00
Mississippi,22189.00,2940057.00
Missouri,77959.00,6177957.00
Montana,51715.00,1122867.00
Nebraska,25229.00,1967923.00
Nevada,181975.00,3177772.00
New Hampshire,8996.00,1395231.00
New Jersey,34536.00,9261699.00
New Mexico,69055.00,2113344.00
New York,84857.00,19677151.00
North Carolina,94018.00,10698973.00
North Dakota,11487.00,779261.00
Ohio,63814.00,11756058.00
Oklahoma,51847.00,4019800.00
Oregon,150207.00,4240137.00
Pennsylvania,52193.00,12972008.00
Rhode Island,4351.00,1093734.00
South Carolina,44230.00,5282634.00
South Dakota,11494.00,909824.00
Tennessee,57422.00,7051339.00
Texas,378281.00,30029572.00
Utah,2173560.00,3380800.00
Vermont,4631.00,647064.00
Virginia,97449.00,8683619.00
Washington,281389.00,7785786.00
West Virginia,17294.00,1775156.00
Wisconsin,27943.00,5892539.00
Wyoming,67797.00,581381.00
